record_id	source	source_identity	evidence	public_idea_or_capability	hundun_owner	lifetime	identity_tuple	only_legal_rebuild_or_invalidation_causes	implementation_decision	prohibited_copying
PISO_INTERMEDIATES	OpenFOAM-dev	https://github.com/OpenFOAM/OpenFOAM-dev.git@b9da51ab0673423aa2af6a45a72a3fbec9c66f9f	applications/modules/{incompressibleFluid/correctPressure.C,isothermalFluid/correctPressure.C,isothermalFluid/isothermalFluid.C,multicomponentFluid/thermophysicalPredictor.C}	Pressure-correction intermediate ordering, compressible density/pressure storage, thermophysical-before-pressure sequencing and final flux/velocity authority	solver_piso	one attempt; rAU/optional-rAtU may span both correctors only while certified; HbyA/pressure-face-coefficient/phiHbyA are corrector-local	(momentum_numeric_revision,density_revision,consistent_diagonal_revision,trial_U_revision,trial_flux_revision,committed_flux_history_revision,face_density_EOS_revision,drho_dp_revision,BDF_revision,p_ref_gauge_revision,geometry_revision,numeric_boundary_revision,corrector_index)	momentum density/diagonal/source/constraint/numeric-BC change invalidates rAU; rAU or consistent-diagonal change invalidates optional rAtU; momentum numeric or trial-U/constraint change invalidates HbyA; reciprocal diagonal or face-rho/EOS change invalidates pressure face coefficient; any phiHbyA tuple change invalidates phiHbyA; corrector 1 trial U/phi/rho write requires corrector 2 rebuild or revision recertification	GPL-reference-only; independently derive HUNDUN equations, types, predictor schedule and tests	No source, expression, control-flow, comment, name arrangement, or translated code copied from GPL implementation
BOX_LOCAL_LAYOUT	AMReX	https://github.com/AMReX-Codes/amrex.git@59d066aab774bc388cc6ed944f7beaf645607ed3	Src/Base/AMReX_{FabArrayBase,MultiFab}.H	Box-local storage with explicit valid/ghost regions and distribution identity	core_field_storage	case execution; storage views are borrowed per operation	(field_schema_revision,mesh_patch_layout_revision,distribution_revision,ghost_width,arena_generation)	field schema/layout/distribution/ghost-width change or arena replacement; never time-step values alone	BSD-3-Clause idea, independently reimplemented as HUNDUN padded SoA/field views	No upstream source copied; no AMReX type enters HUNDUN public or core data model
HALO_METADATA	AMReX	https://github.com/AMReX-Codes/amrex.git@59d066aab774bc388cc6ed944f7beaf645607ed3	Src/Base/AMReX_FabArrayBase.H::{BDKey,FB,CPC,getFB,getCPC}	Cached halo peer/tag/span metadata	parallel_communication	case execution after all stage ghost sets freeze	(partition_revision,field_schema_revision,stage_ghost_set_revision,periodicity,peer_map,pack_span_layout)	partition, field schema, registered stage ghost set, periodicity, peer map, or pack-span layout changes; buffer/request replacement and field numeric revisions do not rebuild metadata	BSD-3-Clause idea, independently reimplemented as immutable HUNDUN halo metadata	No upstream source copied; AMR fill-patch/reflux/average-down are not adopted
HALO_BUFFERS	AMReX	https://github.com/AMReX-Codes/amrex.git@59d066aab774bc388cc6ed944f7beaf645607ed3	Src/Base/AMReX_FabArrayCommI.H::{FillBoundary_nowait,FillBoundary_finish}	Reusable halo send/receive storage supporting begin/finish exchange	parallel_communication	case execution at registered maximum capacity	(send_capacity,receive_capacity,memory_kind,numa_placement,alignment)	replace only when required send/receive capacity exceeds allocation or memory kind, NUMA placement, or alignment plan changes; metadata/request replacement and new field values do not replace buffers	BSD-3-Clause idea, independently reimplemented as preallocated HUNDUN buffers	No upstream source copied; no per-step buffer allocation
HALO_REQUESTS	AMReX	https://github.com/AMReX-Codes/amrex.git@59d066aab774bc388cc6ed944f7beaf645607ed3	Src/Base/AMReX_FabArrayCommI.H::{FillBoundary_nowait,FillBoundary_finish}	Split begin/finish request lifecycle, adapted to persistent MPI requests	parallel_communication	case execution; persistent requests survive time steps; one registered exchange instance is single-in-flight	(communicator_generation,peer_ranks,message_tags,message_counts,mpi_datatypes,registered_buffer_bindings)	recreate only when communicator, peer ranks, tags, counts, MPI datatypes, or registered buffer bindings change; metadata/buffer replacement alone does not recreate requests unless one of those request dependencies changes; field numeric revisions only invalidate ghost revisions, which publish after finish	BSD-3-Clause begin/finish idea, independently reimplemented with HUNDUN-owned persistent MPI requests	No upstream source copied; no request creation in the hot loop
EB_RESOURCE_LIFETIME	AMReX	https://github.com/AMReX-Codes/amrex.git@59d066aab774bc388cc6ed944f7beaf645607ed3	Src/EB/AMReX_{EB2_Level,EBFabFactory}.{H,cpp}; EB2::{IndexSpace,Level}; EBFArrayBoxFactory	Long-lived EB topology/metric factory tied to geometry and grid identity	mesh_eb	initialization through case shutdown for static geometry	(geometry_content_revision,geometry_transform_revision,cartesian_mesh_coordinates_revision,partition_revision,classification_policy_revision,compact_index_layout_revision)	geometry content, geometry transform, Cartesian mesh/coordinates, partition, classification policy, or compact-index layout revision changes; requested ghost extent, field values, time steps, and solver coefficients do not rebuild EBTopology	BSD-3-Clause idea, independently reimplemented as EBTopology plus separate stencil/quadrature plans	No upstream source copied; no AMR IndexSpace/factory object or API reused
BOUNDARY_STENCIL_PLAN	AMReX and COAST	AMReX@59d066aab774bc388cc6ed944f7beaf645607ed3; /home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	AMReX Src/EB/AMReX_EB2_Level.H; COAST SRC.Coast/imb_mesh_minimal.F90::{imb_build_interface_geometry_minimal,imb_norm_init_minimal}	Precompute static EB interface geometry and boundary reconstruction ownership	mesh_eb and bc_plan	case execution for static geometry	(EBTopology_identity,boundary_plan_revision,reconstruction_plan_revision,donor_policy_revision,required_ghost_extent,field_layout_revision)	EB topology, boundary plan, reconstruction/donor policy, ghost extent, or field layout change; never field values, residual, retry, or time step	Independently implemented HUNDUN plan; public AMReX idea and COAST capability only	No upstream source copied; no old COAST Fortran copied or translated
SURFACE_QUADRATURE_PLAN	AMReX and COAST	AMReX@59d066aab774bc388cc6ed944f7beaf645607ed3; /home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	AMReX Src/EB/AMReX_EB2_Level.H; COAST SRC.Coast/imb_mesh_minimal.F90::imb_build_interface_geometry_minimal	Precompute compact static EB surface integration data	mesh_eb	case execution for static geometry	(EBTopology_identity,surface_set_revision,quadrature_family_order_revision,compact_interface_index_revision)	EB topology, selected surface set, quadrature family/order, or compact interface mapping change; never thermodynamic or flow values	Independently implemented HUNDUN plan; public AMReX idea and COAST capability only	No upstream source copied; no old COAST Fortran copied or translated
REMOTE_DONOR_EXCHANGE	HUNDUN independent design	project architecture decision	Static ghost-cell IBM remote donor IDs compiled after quadratic stencil selection	Deduplicated sparse remote donor gather while regular Cartesian stages keep face-only halos	mesh_eb and parallel_communication	case execution after stencil/partition seal	(partition_revision,EBTopology_identity,QuadraticStencilPlan_identity,remote_global_donor_set,registered_field_groups,peer_map)	partition, EB topology/stencil, remote donor set, registered fields or peer map change; field values only invalidate received donor revisions	HUNDUN-native performance design; AMReX EB contributes ownership lifetime only, not this numerical exchange	No upstream/private source or cut-cell method copied; no dense 26-neighbor fill unless a stage explicitly registers it
PROJECTOR_REBUILD	IncFlo	https://github.com/AMReX-Fluids/incflo.git@7307d8725c2a538f09cafbeacbfeb63e0fb11d22	src/incflo_regrid.cpp::{MakeNewLevelFromCoarse,RemakeLevel,ClearLevel}; src/convection/incflo_compute_MAC_projected_velocities.cpp::compute_MAC_projected_velocities; src/projection/incflo_apply_nodal_projection.cpp::ApplyNodalProjection	Projection/operator resources are rebuilt at grid/EB ownership boundaries while coefficient refresh is separate	solver_projection	project-owned case resource; numeric state is refreshed per dependency revision	(topology_revision,partition_revision,geometry_revision,eb_topology_revision,boundary_plan_revision,coefficient_policy)	topology/partition/geometry/EB/boundary-plan change rebuilds operator/projector; coefficient change refills numeric state under policy; RHS/state changes alone do neither	BSD-3-Clause idea, independently reimplemented; AMR regrid machinery excluded	No upstream source copied; no IncFlo classes, APIs, or control flow adopted
